partition,mechanism,session_id,timestamp,expired_instrument_key,expiry_id,option_type,strike,entry_price_next_open,gross_return_pct,net_return_pct,stress_return_pct,forward_mfe_points,forward_mae_points,forward_expansion_pct,label_horizon_minutes,is_expansion_event,move_cluster_id,prior_5m_return_pct,previous_return,return_acceleration,breadth_positive,breadth_delta,breadth_acceleration,breadth_volume,option_asymmetry,directional_mass_shift,prior_5m_volume_ratio,days_to_expiry,minute_of_day
development,surface_mass_migration,2025-05-29,2025-05-29 04:32:00+00:00,NSE_FO|61693|29-05-2025,2025-05-29,CE,24750.0,113.7,10.554089709762533,10.454089709762533,9.554089709762533,20.700000000000003,9.0,18.20580474934037,5,False,,13.972888425443152,-0.8474576271186529,14.820346052561804,1.0,0.8,1.0,1.0,30.096666927071812,73.10973987828038,3.0237980123556274,0,602
development,surface_mass_migration,2025-05-30,2025-05-30 04:04:00+00:00,NSE_FO|40486|05-06-2025,2025-06-05,PE,24850.0,202.95,0.6159152500615915,0.5159152500615916,-0.38408474993840847,11.050000000000011,4.899999999999977,5.444690810544476,5,False,,2.8115501519756725,0.8253804488006056,1.986169703175067,0.75,0.125,0.75,0.875,8.442874393066745,625.2099738209035,1.5728866788798743,6,574
development,surface_mass_migration,2025-06-02,2025-06-02 04:25:00+00:00,NSE_FO|40479|05-06-2025,2025-06-05,PE,24750.0,291.9,-7.4854402192531575,-7.585440219253157,-8.485440219253157,1.400000000000034,25.899999999999977,0.47961630695444823,5,False,,2.2393282015395366,-0.5247507433968845,2.764078944936421,0.75,0.5,0.875,0.875,6.819160134312652,1187.2037373344174,1.33983286908078,3,595
development,surface_mass_migration,2025-06-03,2025-06-03 04:31:00+00:00,NSE_FO|40488|05-06-2025,2025-06-05,PE,24900.0,366.0,-3.060109289617483,-3.160109289617483,-4.060109289617483,6.199999999999989,17.0,1.6939890710382481,5,False,,5.770887166235994,7.0934510669609985,-1.3225639007250045,0.75,0.125,0.25,0.5,8.852801197055127,352.8952335813592,2.0107411385606873,2,601
development,surface_mass_migration,2025-06-04,2025-06-04 04:21:00+00:00,NSE_FO|40476|05-06-2025,2025-06-05,PE,24700.0,202.0,-10.445544554455441,-10.545544554455441,-11.445544554455441,0.15000000000000568,25.75,0.07425742574257707,5,False,,8.560727661851253,1.5008903586873457,7.059837303163907,0.875,0.25,0.875,0.625,25.17673576722107,1060.7842899661373,1.2407626561472715,1,591
development,surface_mass_migration,2025-06-05,2025-06-05 04:03:00+00:00,NSE_FO|40475|05-06-2025,2025-06-05,CE,24700.0,84.2,0.23752969121140477,0.13752969121140476,-0.7624703087885952,9.700000000000003,9.600000000000009,11.520190023752972,5,False,,18.675123326286112,7.463768115942027,11.211355210344085,1.0,0.0,1.0,1.0,42.915354874766564,13.113627532136888,1.3593505354794264,0,573
development,surface_mass_migration,2025-06-06,2025-06-06 04:03:00+00:00,NSE_FO|44845|12-06-2025,2025-06-12,PE,24650.0,134.95,16.302334197851057,16.202334197851055,15.302334197851057,28.30000000000001,0.549999999999983,20.970729899962958,5,True,NSE_FO|44845|12-06-2025:2486,4.297328687572577,0.9444654325651669,3.35286325500741,0.625,0.0,0.75,0.75,8.250869004749251,12.945700464591937,1.25511342506508,6,573
development,surface_mass_migration,2025-06-09,2025-06-09 04:56:00+00:00,NSE_FO|44844|12-06-2025,2025-06-12,CE,24650.0,492.05,2.5708769434000565,2.4708769434000564,1.5708769434000565,14.25,2.8500000000000227,2.8960471496799105,5,False,,0.8085149933476643,0.8363933088535447,-0.02787831550588038,0.8333333,0.49999997,0.6666667,0.6666667,8.015722200554876,75.51363629868865,3.142857142857143,3,626
development,surface_mass_migration,2025-06-10,2025-06-10 04:34:00+00:00,NSE_FO|44858|12-06-2025,2025-06-12,CE,24850.0,328.6,-0.6086427267194157,-0.7086427267194156,-1.6086427267194157,10.899999999999977,4.7000000000000455,3.317102860620808,5,False,,4.379562043795615,2.5608798114689746,1.8186822323266405,1.0,0.0,0.8,1.0,13.749238364068184,15.421563196323405,4.964912280701754,2,604
development,surface_mass_migration,2025-06-11,2025-06-11 04:30:00+00:00,NSE_FO|44852|12-06-2025,2025-06-12,CE,24700.0,444.65,-1.405599910041606,-1.505599910041606,-2.405599910041606,1.3500000000000227,7.649999999999977,0.30360958056899195,5,False,,3.2049057040379525,1.7642988929889247,1.4406068110490278,1.0,0.0,0.8,0.8,3.2049057040379525,13.700890785796219,5.035294117647059,1,600
development,surface_mass_migration,2025-06-12,2025-06-12 04:20:00+00:00,NSE_FO|44858|12-06-2025,2025-06-12,CE,24850.0,265.4,-4.804069329314233,-4.904069329314233,-5.804069329314233,7.850000000000023,19.049999999999983,2.957799547852307,5,False,,4.977105315548469,0.554455445544555,4.422649870003914,1.0,0.0,1.0,0.8,41.28995447755963,36.68027632198209,1.655831739961759,0,590
development,surface_mass_migration,2025-06-13,2025-06-13 04:05:00+00:00,NSE_FO|50992|19-06-2025,2025-06-19,PE,24550.0,173.85,-10.353753235547886,-10.453753235547886,-11.353753235547886,2.3000000000000114,24.599999999999994,1.322979580097792,5,False,,6.487148102815166,15.454251535725838,-8.967103432910672,1.0,0.0,0.0,1.0,13.765563118456459,31.84748684909937,1.651183879093199,6,575
development,surface_mass_migration,2025-06-16,2025-06-16 04:16:00+00:00,NSE_FO|50986|19-06-2025,2025-06-19,PE,24450.0,53.0,3.1132075471698086,3.0132075471698085,2.1132075471698086,9.950000000000003,0.3500000000000014,18.773584905660382,5,False,,6.000000000000005,2.0105820105820182,3.989417989417987,1.0,0.125,1.0,0.875,10.268292682926838,136.68349634805418,2.7113015532940548,3,586
development,surface_mass_migration,2025-06-17,2025-06-17 04:13:00+00:00,NSE_FO|50992|19-06-2025,2025-06-19,PE,24550.0,33.6,3.124999999999991,3.024999999999991,2.124999999999991,2.6999999999999957,1.2000000000000028,8.035714285714272,5,False,,4.665629860031095,15.170278637770917,-10.50464877773982,0.75,0.125,0.25,0.625,12.67610106421958,284.3975627830623,1.0286512928022362,2,583
development,surface_mass_migration,2025-06-18,2025-06-18 05:09:00+00:00,NSE_FO|50985|19-06-2025,2025-06-19,CE,24450.0,430.5,-0.5807200929152149,-0.6807200929152148,-1.580720092915215,5.300000000000011,4.449999999999989,1.2311265969802583,5,False,,0.2089864158829835,-0.4661739624786887,0.6751603783616722,0.6666667,0.5,0.8333333,0.8333333,7.087293294189845,105.11792507985592,8.25,1,639
development,surface_mass_migration,2025-06-19,2025-06-19 04:17:00+00:00,NSE_FO|50991|19-06-2025,2025-06-19,CE,24550.0,309.35,-7.919831905608533,-8.019831905608534,-8.919831905608532,3.599999999999966,28.30000000000001,1.1637304024567532,5,False,,4.813559322033889,7.595795184808418,-2.782235862774529,0.85714287,0.0,0.0,0.5714286,14.569656883009486,28.302904634991137,1.4643734643734643,0,587
development,surface_mass_migration,2025-06-20,2025-06-20 05:22:00+00:00,NSE_FO|62395|26-06-2025,2025-06-26,CE,24900.0,273.25,-5.41628545288198,-5.51628545288198,-6.41628545288198,1.0500000000000114,16.149999999999977,0.3842634949679822,5,False,,6.4491064491064565,-0.17228177641653852,6.621388225522995,1.0,0.19999999,1.0,0.6,14.091533498666443,30.937928805695265,1.1193339500462536,6,652
development,surface_mass_migration,2025-06-23,2025-06-23 04:05:00+00:00,NSE_FO|62396|26-06-2025,2025-06-26,PE,24900.0,160.2,-4.962546816479394,-5.062546816479394,-5.962546816479394,4.300000000000011,15.299999999999983,2.684144818976287,5,False,,14.849354375896695,21.678571428571413,-6.829217052674718,0.75,0.125,0.25,0.5,26.48425909003913,353.7707299573631,0.946628126635865,3,575
development,surface_mass_migration,2025-06-24,2025-06-24 04:06:00+00:00,NSE_FO|62396|26-06-2025,2025-06-26,PE,24900.0,41.0,-5.975609756097568,-6.075609756097568,-6.975609756097568,7.25,3.0,17.682926829268293,5,False,,31.41025641025641,14.10048622366289,17.309770186593518,0.875,0.125,0.875,0.875,38.86798151504034,1075.192417918519,3.503514794834069,2,576
development,surface_mass_migration,2025-06-25,2025-06-25 04:16:00+00:00,NSE_FO|62393|26-06-2025,2025-06-26,CE,24850.0,376.35,2.0326823435631662,1.9326823435631661,1.0326823435631662,11.599999999999966,21.30000000000001,3.0822372791284613,5,False,,0.6242528888298571,3.29700272479565,-2.672749835965793,1.0,0.0,0.0,0.8,-1.5496601546484134,23.960906793541653,1.2285714285714286,1,586
development,surface_mass_migration,2025-06-26,2025-06-26 05:19:00+00:00,NSE_FO|62395|26-06-2025,2025-06-26,CE,24900.0,451.05,-1.1750360270480016,-1.2750360270480017,-2.1750360270480016,16.5,26.05000000000001,3.6581310276022614,5,False,,8.780014552510295,0.022451728783123848,8.75756282372717,1.0,0.19999999,1.0,1.0,39.6442120833745,91.28840500900696,1.3333333333333333,0,649
development,surface_mass_migration,2025-06-27,2025-06-27 04:15:00+00:00,NSE_FO|56887|03-07-2025,2025-07-03,PE,25500.0,137.55,-4.76190476190477,-4.8619047619047695,-5.76190476190477,0.44999999999998863,11.250000000000014,0.3271537622682578,5,False,,6.599378881987583,8.164062499999991,-1.564683618012408,1.0,0.125,0.25,0.625,11.241545226281602,191.44587012220654,1.5293582533906716,6,585
development,surface_mass_migration,2025-06-30,2025-06-30 04:07:00+00:00,NSE_FO|56887|03-07-2025,2025-07-03,PE,25500.0,92.05,1.6838674633351407,1.5838674633351406,0.6838674633351407,3.9000000000000057,11.099999999999994,4.236827810972303,5,False,,13.275968039336217,10.45871559633027,2.8172524430059465,0.75,0.125,0.875,0.75,18.62143956127832,262.6912206750676,1.2517956084547506,3,577
development,surface_mass_migration,2025-07-01,2025-07-01 04:11:00+00:00,NSE_FO|56998|03-07-2025,2025-07-03,CE,25700.0,66.55,-10.593538692712242,-10.693538692712242,-11.593538692712242,0.7000000000000028,8.0,1.0518407212622132,5,False,,6.650641025641013,-1.228878648233478,7.879519673874491,1.0,0.6,1.0,0.6,11.999101317375215,74.63259579713849,1.0094334356684342,2,581
development,surface_mass_migration,2025-07-02,2025-07-02 04:01:00+00:00,NSE_FO|56985|03-07-2025,2025-07-03,PE,25650.0,123.85,-1.695599515542991,-1.7955995155429911,-2.695599515542991,6.150000000000006,5.849999999999994,4.965684295518778,5,False,,4.601097509497687,8.340727595385978,-3.739630085888291,0.875,0.25,0.25,0.75,9.580350621530897,1193.4038295498613,1.7401630129286116,1,571
development,surface_mass_migration,2025-07-03,2025-07-03 04:14:00+00:00,NSE_FO|56843|03-07-2025,2025-07-03,CE,25500.0,38.3,18.929503916449086,18.829503916449084,17.929503916449086,11.700000000000003,4.599999999999994,30.54830287206267,5,False,,53.6,3.5426731078904927,50.05732689210951,1.0,0.19999999,1.0,1.0,90.383988957902,28.238971086972015,1.450003552242558,0,584
development,surface_mass_migration,2025-07-04,2025-07-04 04:03:00+00:00,NSE_FO|40057|10-07-2025,2025-07-10,PE,25550.0,212.25,6.996466431095404,6.896466431095404,5.996466431095404,19.75,0.15000000000000568,9.305064782096583,5,False,,2.4261349987989345,5.714285714285716,-3.2881507154867817,1.0,0.0,0.125,0.875,7.461381725888561,415.45525346209615,1.5147375988497485,6,573
development,surface_mass_migration,2025-07-07,2025-07-07 04:20:00+00:00,NSE_FO|40048|10-07-2025,2025-07-10,PE,25450.0,116.2,-9.552495697074018,-9.652495697074018,-10.552495697074018,2.950000000000003,13.799999999999997,2.538726333907059,5,False,,5.122393472348152,3.6601897876186174,1.462203684729535,0.75,0.125,0.75,0.75,10.361573426790061,381.4358231676015,1.2737305671990238,3,590
development,surface_mass_migration,2025-07-08,2025-07-08 04:26:00+00:00,NSE_FO|40057|10-07-2025,2025-07-10,PE,25550.0,137.0,3.722627737226273,3.622627737226273,2.722627737226273,19.44999999999999,1.8499999999999943,14.197080291970796,5,False,,3.5134114091424307,5.4857142857142716,-1.972302876571841,0.75,0.0,0.125,0.625,8.154761620112893,29.48362761322278,1.2407783909381354,2,596
development,surface_mass_migration,2025-07-09,2025-07-09 04:12:00+00:00,NSE_FO|40048|10-07-2025,2025-07-10,PE,25450.0,48.2,-2.697095435684656,-2.797095435684656,-3.697095435684656,2.6999999999999957,3.5500000000000043,5.601659751037335,5,False,,5.664488017429203,4.189636163175292,1.4748518542539113,0.75,0.0,0.375,0.625,11.18774383138269,497.34612893576195,0.9117962297459177,1,582
development,surface_mass_migration,2025-07-10,2025-07-10 04:00:00+00:00,NSE_FO|40048|10-07-2025,2025-07-10,PE,25450.0,43.7,-9.725400457665904,-9.825400457665904,-10.725400457665904,14.299999999999997,6.0,32.72311212814644,5,False,,22.72089761570828,12.926829268292671,9.79406834741561,0.75,0.125,0.75,0.5,34.42206773271999,339.19057893820354,1.2545985604506416,0,570
development,surface_mass_migration,2025-07-11,2025-07-11 04:16:00+00:00,NSE_FO|47294|17-07-2025,2025-07-17,PE,25300.0,112.3,2.537845057880684,2.437845057880684,1.5378450578806842,4.900000000000006,1.0499999999999972,4.363312555654502,5,False,,2.7853881278538717,4.001839926402928,-1.2164517985490564,0.75,0.0,0.125,0.875,5.898228594779942,170.02859374391846,1.366689964231386,6,586
development,surface_mass_migration,2025-07-14,2025-07-14 04:02:00+00:00,NSE_FO|47293|17-07-2025,2025-07-17,CE,25300.0,40.25,-0.8695652173913079,-0.9695652173913079,-1.8695652173913078,0.3999999999999986,4.149999999999999,0.9937888198757728,5,False,,2.154626108998725,1.4230271668822958,0.7315989421164293,1.0,0.0,0.6666667,0.6666667,2.3888181464694513,44.895872495639196,2.1280275364143892,3,572
