evidence_lane,expectancy,friction_bps_per_side,net_pnl,normalization,overlay_name,partition,profit_factor,strategy_id,trades
PRICE_STRUCTURE_CANDIDATE_OVERLAY,0.25729166666666814,0.0,4.631250000000026,per_option_unit,COMMON_OPTION_OVERLAY_V1,validation,1.0345970678868244,LATE_DAY_MOMENTUM,18
PRICE_STRUCTURE_CANDIDATE_OVERLAY,0.5054952159484587,0.0,9.098913887072257,net_return_pct,COMMON_OPTION_OVERLAY_V1,validation,1.0690456760833602,LATE_DAY_MOMENTUM,18
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-17.550059895833257,5.0,-315.90107812499866,one_lot_rupee,COMMON_OPTION_OVERLAY_V1,validation,0.9666534419619618,LATE_DAY_MOMENTUM,18
PRICE_STRUCTURE_CANDIDATE_OVERLAY,0.13697968750000153,5.0,2.4656343750000276,per_option_unit,COMMON_OPTION_OVERLAY_V1,validation,1.01827483270485,LATE_DAY_MOMENTUM,18
PRICE_STRUCTURE_CANDIDATE_OVERLAY,0.4052424683404847,5.0,7.2943644301287245,net_return_pct,COMMON_OPTION_OVERLAY_V1,validation,1.0549625431841385,LATE_DAY_MOMENTUM,18
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-33.723096354166586,15.0,-607.0157343749986,one_lot_rupee,COMMON_OPTION_OVERLAY_V1,validation,0.9368838994250344,LATE_DAY_MOMENTUM,18
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-0.10364427083333183,15.0,-1.865596874999973,per_option_unit,COMMON_OPTION_OVERLAY_V1,validation,0.9863858838688812,LATE_DAY_MOMENTUM,18
PRICE_STRUCTURE_CANDIDATE_OVERLAY,0.20473697312453648,15.0,3.6852655162416568,net_return_pct,COMMON_OPTION_OVERLAY_V1,validation,1.027382762197106,LATE_DAY_MOMENTUM,18
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-49.89613281249988,25.0,-898.1303906249979,one_lot_rupee,COMMON_OPTION_OVERLAY_V1,validation,0.907993710700381,LATE_DAY_MOMENTUM,18
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-0.34426822916666494,25.0,-6.196828124999969,per_option_unit,COMMON_OPTION_OVERLAY_V1,validation,0.9554660302954561,LATE_DAY_MOMENTUM,18
PRICE_STRUCTURE_CANDIDATE_OVERLAY,0.004231477908587858,25.0,0.07616660235458143,net_return_pct,COMMON_OPTION_OVERLAY_V1,validation,1.0005581948919626,LATE_DAY_MOMENTUM,18
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-139.1726562500001,0.0,-5566.906250000005,one_lot_rupee,COMMON_OPTION_OVERLAY_V1,development,0.7284527043300375,MEAN_REVERSION_EXTENSION,40
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-2.697343750000002,0.0,-107.89375000000008,per_option_unit,COMMON_OPTION_OVERLAY_V1,development,0.6969085124762097,MEAN_REVERSION_EXTENSION,40
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-3.7766814945468803,0.0,-151.0672597818752,net_return_pct,COMMON_OPTION_OVERLAY_V1,development,0.5999419782888132,MEAN_REVERSION_EXTENSION,40
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-145.39540742187512,5.0,-5815.816296875005,one_lot_rupee,COMMON_OPTION_OVERLAY_V1,development,0.7179228570641585,MEAN_REVERSION_EXTENSION,40
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-2.809278578125002,5.0,-112.37114312500009,per_option_unit,COMMON_OPTION_OVERLAY_V1,development,0.6862787862659555,MEAN_REVERSION_EXTENSION,40
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-3.8747931537996068,5.0,-154.99172615198427,net_return_pct,COMMON_OPTION_OVERLAY_V1,development,0.5918311874500868,MEAN_REVERSION_EXTENSION,40
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-157.84090976562513,15.0,-6313.636390625005,one_lot_rupee,COMMON_OPTION_OVERLAY_V1,development,0.6972180643283006,MEAN_REVERSION_EXTENSION,40
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-3.033148234375002,15.0,-121.32592937500007,per_option_unit,COMMON_OPTION_OVERLAY_V1,development,0.6654081159104002,MEAN_REVERSION_EXTENSION,40
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-4.071016472305059,15.0,-162.84065889220236,net_return_pct,COMMON_OPTION_OVERLAY_V1,development,0.5758771966024083,MEAN_REVERSION_EXTENSION,40
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-170.28641210937514,25.0,-6811.456484375005,one_lot_rupee,COMMON_OPTION_OVERLAY_V1,development,0.6769733308264796,MEAN_REVERSION_EXTENSION,40
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-3.257017890625002,25.0,-130.28071562500008,per_option_unit,COMMON_OPTION_OVERLAY_V1,development,0.6450402122812978,MEAN_REVERSION_EXTENSION,40
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-4.267239790810512,25.0,-170.68959163242047,net_return_pct,COMMON_OPTION_OVERLAY_V1,development,0.5602702909588104,MEAN_REVERSION_EXTENSION,40
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-368.6515624999998,0.0,-4423.818749999998,one_lot_rupee,COMMON_OPTION_OVERLAY_V1,validation,0.5204519524443157,MEAN_REVERSION_EXTENSION,12
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-5.824687499999999,0.0,-69.89624999999998,per_option_unit,COMMON_OPTION_OVERLAY_V1,validation,0.49337694342768107,MEAN_REVERSION_EXTENSION,12
