hypothesis_id,family,event_type,direction,instrument,sample,screen_rejection_reason,gross_pnl,net_pnl,net_2x_cost,expectancy,win_rate,profit_factor,target30_rate,stop20_rate,top5_contribution,top10_contribution,max_month_share,max_weekday_share,months,weekdays
SESPRINT_28e2d19e1cd5ac,trend_continuation,compression_expansion_up,UP,NIFTY,71,development_weak_premium_move_proxy,935.5999999999913,829.0999999999913,722.5999999999913,11.677464788732271,0.5774647887323944,2.004847897224579,0.38028169014084506,0.4788732394366197,1.0686286334579733,1.4047159570618777,0.43661971830985913,0.36619718309859156,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_fa9a09f77366d2,compression_expansion,compression_expansion_up,UP,NIFTY,71,development_weak_premium_move_proxy,935.5999999999913,829.0999999999913,722.5999999999913,11.677464788732271,0.5774647887323944,2.004847897224579,0.38028169014084506,0.4788732394366197,1.0686286334579733,1.4047159570618777,0.43661971830985913,0.36619718309859156,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_f4d4540c1674b3,vwap_reclaim,vwap_rejection,DOWN,NIFTY,68,development_weak_premium_move_proxy,865.4500000000116,763.4500000000116,661.4500000000116,11.227205882353113,0.5735294117647058,2.619881179715707,0.4411764705882353,0.5,0.5684720675879193,0.9126334403038697,0.6323529411764706,0.38235294117647056,"['2024-05', '2024-06', '2024-07']","['Friday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_5648c1135c0725,trend_continuation,opening_range_high_break,UP,NIFTY,121,development_weak_premium_move_proxy,1510.7000000000044,1329.2000000000044,1147.7000000000044,10.985123966942185,0.5289256198347108,1.6946251731075788,0.4462809917355372,0.4297520661157025,0.7909644899187471,1.205988564550104,0.5619834710743802,0.21487603305785125,"['2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_f80cff08d0e810,gap_continuation,opening_range_high_break,UP,NIFTY,121,development_weak_premium_move_proxy,1510.7000000000044,1329.2000000000044,1147.7000000000044,10.985123966942185,0.5289256198347108,1.6946251731075788,0.4462809917355372,0.4297520661157025,0.7909644899187471,1.205988564550104,0.5619834710743802,0.21487603305785125,"['2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_54ad4407f6e980,vwap_reclaim,vwap_rejection,DOWN,NIFTY,89,development_weak_premium_move_proxy,1104.2499999999964,970.7499999999964,837.2499999999964,10.907303370786476,0.42696629213483145,1.5266370097108408,0.42696629213483145,0.6853932584269663,1.5442698944115492,2.02585629667784,0.6067415730337079,0.3707865168539326,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_17317b7417f492,liquidity_sweep_reversal,long_upper_wick,DOWN,NIFTY,46,development_weak_premium_move_proxy,553.2499999999854,484.24999999998545,415.24999999998545,10.527173913043162,0.43478260869565216,2.192440285643888,0.32608695652173914,0.43478260869565216,0.8946824987093712,1.5287558079504757,0.5,0.2608695652173913,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_86ece6ebfa4948,liquidity_sweep_reversal,long_upper_wick,DOWN,NIFTY,45,development_weak_premium_move_proxy,541.1499999999869,473.6499999999869,406.1499999999869,10.525555555555265,0.4222222222222222,2.16633834031023,0.3111111111111111,0.4222222222222222,0.9147049509131467,1.5629684366093446,0.5111111111111111,0.26666666666666666,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_c13d5d9cede212,liquidity_sweep_reversal,long_lower_wick,UP,NIFTY,53,development_weak_premium_move_proxy,621.7999999999884,542.2999999999884,462.79999999998836,10.232075471697893,0.6415094339622641,2.4007490636703634,0.39622641509433965,0.41509433962264153,0.7315139221833171,1.132122441453096,0.7547169811320755,0.4528301886792453,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
SESPRINT_5156354ee49fb2,vwap_reclaim,vwap_rejection,DOWN,NIFTY,134,development_weak_premium_move_proxy,1558.6000000000167,1357.6000000000167,1156.6000000000167,10.131343283582215,0.43283582089552236,1.741027810376364,0.29850746268656714,0.5895522388059702,1.0794048320565608,1.4424720094283874,0.5074626865671642,0.26119402985074625,"['2024-05', '2024-06', '2024-07']","['Friday', 'Monday', 'Thursday', 'Tuesday', 'Wednesday']"
