logical_path,absolute_path,suffix,size_bytes,sha256,row_count,columns,date_min,date_max,classification,authority_role,point_in_time_status,has_option_identity,has_expiry,has_strike,has_lot_size,has_bid_ask,has_quote_time,usable_for_option_e2e,blocker
runtime/market_data/upstox/20260717/ticks_1784265618.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265618.parquet,.parquet,202844,fe1becdc08c5fb2e917f7c6b33993d325fccceea4d9c6e7add9f6bb4024c156f,5660,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265606,1970-01-01T00:00:01.784265618,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265630.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265630.parquet,.parquet,206153,058518cc1301374b7fc59926db14b8ac6861f2173e853262c0b539036ec829cf,5771,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265618,1970-01-01T00:00:01.784265630,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265642.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265642.parquet,.parquet,204781,7cfadffa17fe942c1e8a7e7da1a5ca428abe6abd8f3e2931063632a3fefe5d65,5864,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265630,1970-01-01T00:00:01.784265642,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265655.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265655.parquet,.parquet,214290,347cc86b55769d2a7f1fecfa69b6fd329c6aa20f2c00f1917e71c4aedb5267d3,6130,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265642,1970-01-01T00:00:01.784265654,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265667.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265667.parquet,.parquet,210585,73f3a625bb886656d90c046dc819c28b58ba034abc06e736139a4e5d848532f9,6012,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265655,1970-01-01T00:00:01.784265667,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265679.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265679.parquet,.parquet,199901,3ef05caa5f00935edb20443ca2ea4fb57d0f0aed300f8de327d062b59349f586,5730,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265667,1970-01-01T00:00:01.784265679,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265691.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265691.parquet,.parquet,195446,8b8e95a996a59d9395f97dd573dab29b4601e90524b4ca5422904fbd33d02ef5,5596,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265679,1970-01-01T00:00:01.784265691,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265703.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265703.parquet,.parquet,194030,f3b9deccc9aa2c987d9c52bfc1583d52429f6a45084bf0c2b544f67798437bb5,5566,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265691,1970-01-01T00:00:01.784265703,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265715.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265715.parquet,.parquet,203258,11ea5341a93d4746eb103f4302fb967258f0024fafaf4818bc32fea50eb51098,5786,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265703,1970-01-01T00:00:01.784265715,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265728.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265728.parquet,.parquet,205929,30c5ca7e20bb34c886cda4a5d0fa49791e3144bd2c2f05ff78310d003eb8a77e,5869,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265715,1970-01-01T00:00:01.784265727,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265740.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265740.parquet,.parquet,197634,5682a831325d71c8a204c839013480e40753fa9f039d30ca4be5eabeddb4fa7f,5797,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265728,1970-01-01T00:00:01.784265740,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
runtime/market_data/upstox/20260717/ticks_1784265752.parquet,/Users/madhuram/tradebot-all-strategy-option-e2e-recertification-v4/runtime/market_data/upstox/20260717/ticks_1784265752.parquet,.parquet,216924,eedc4af1923c1a96025f392dd24401baca805288de7bc913094a1b630fd7712d,6087,"['ts', 'instrument_key', 'ltp', 'bid_price', 'ask_price', 'delta', 'theta', 'gamma', 'vega', 'iv', 'volume', 'oi']",1970-01-01T00:00:01.784265740,1970-01-01T00:00:01.784265752,option_quote,none,NOT_AUTHORITY,True,False,False,False,True,True,True,
