absolute_path,file_count,file_type,instrument,granularity,start_timestamp,end_timestamp,timezone_semantics,session_count,row_count,schema_fingerprint,missing_field_summary,duplicate_summary,timestamp_monotonicity,data_kind,provenance_confidence,admissible_for_discovery,admissible_for_validation,admissible_for_execution_simulation,admissible_for_observation,exclusion_reason,archive_sha256,member_size,size_bytes,sha256
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240221/manifests/upstox_fetch_manifest_20240221.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240222/manifests/upstox_fetch_manifest_20240222.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240223/manifests/upstox_fetch_manifest_20240223.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240226/manifests/upstox_fetch_manifest_20240226.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240227/manifests/upstox_fetch_manifest_20240227.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240228/manifests/upstox_fetch_manifest_20240228.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240229/manifests/upstox_fetch_manifest_20240229.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240301/manifests/upstox_fetch_manifest_20240301.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240304/manifests/upstox_fetch_manifest_20240304.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240305/manifests/upstox_fetch_manifest_20240305.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240306/manifests/upstox_fetch_manifest_20240306.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240307/manifests/upstox_fetch_manifest_20240307.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240308/manifests/upstox_fetch_manifest_20240308.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240311/manifests/upstox_fetch_manifest_20240311.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240312/manifests/upstox_fetch_manifest_20240312.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240313/manifests/upstox_fetch_manifest_20240313.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240314/manifests/upstox_fetch_manifest_20240314.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240315/manifests/upstox_fetch_manifest_20240315.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240318/manifests/upstox_fetch_manifest_20240318.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240319/manifests/upstox_fetch_manifest_20240319.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240320/manifests/upstox_fetch_manifest_20240320.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240321/manifests/upstox_fetch_manifest_20240321.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240322/manifests/upstox_fetch_manifest_20240322.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240325/manifests/upstox_fetch_manifest_20240325.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240326/manifests/upstox_fetch_manifest_20240326.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240327/manifests/upstox_fetch_manifest_20240327.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240328/manifests/upstox_fetch_manifest_20240328.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240329/manifests/upstox_fetch_manifest_20240329.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
/Users/madhuram/tradebot-structural-edge-discovery-v3/runtime/upstox_candidate_replay.zip!upstox_candidate_replay/20240401/manifests/upstox_fetch_manifest_20240401.json,1,json,,,,,UNKNOWN,0,0,,{},{},UNKNOWN,archive_member_observation_only,LOW,False,False,False,True,not_underlying_candle_member_for_initial_campaign,4357f109ed631802b3774c34db9c318f71742f8e99de307408af71bf00810707,380.0,,
